population,deltafitness
aInnXY-LHm,0.085063111
aInnXY-LHm,-0.217479786
aInnXY-LHm,-0.057372649
aInnXY-LHm,0.041850529
aInnXY-LHm,-0.061941608
aInnXY-LHm,-0.160132978
aInnXY-LHm,-0.186377204
aInnXY-LHm,0.018165083
aInnXY-LHm,-0.030861417
aInnXY-LHm,-0.049917225
aInnXY-LHm,-0.00893294
aInnXY-LHm,-0.089789589
aInnXY-LHm,0.059835014
aInnXY-LHm,-0.030065594
aInnXY-LHm,-0.174368905
aInnXY-LHm,-0.202477213
aInnXY-LHm,-0.116347378
aInnXY-LHm,-0.067100269
aInnXY-LHm,0.068326633
aInnXY-LHm,-0.060843831
aInnXY-LHm,-0.198830569
aInnXY-LHm,-0.027331926
aInnXY-LHm,-0.074386452
aInnXY-LHm,-0.270835073
aInnXY-LHm,-0.034642958
aInnXY-LHm,-0.022197647
aInnXY-LHm,0.047736941
aInnXY-LHm,-0.102766301
aInnXY-LHm,-0.050209931
aInnXY-LHm,-0.067438625
aInnXY-LHm,-0.182414687
aInnXY-LHm,-0.167449119
aInnXY-LHm,-0.137442501
aInnXY-LHm,0.003069388
aInnXY-LHm,-0.07592893
aInnXY-LHm,-0.073151048
aInnXY-LHm,-0.110077493
aInnXY-LHm,-0.044364216
aInnXY-LHm,0.043422109
aInnXY-LHm,-0.260686268
aInnXY-LHm,-0.06820142
aInnXY-LHm,-0.006687849
aInnXY-LHm,-0.076453424
aInnXY-LHm,0.074432153
aInnXY-LHm,0.082084609
aInnXY-LHm,-0.099345784
aInnXY-LHm,0.003383678
aInnXY-LHm,0.071112428
aInnXY-LHm,-0.06508685
aInnXY-LHm,-0.042922477
aInnXY-LHm,-0.216568071
aInnXY-LHm,-0.058065137
aInnXY-LHm,-0.073932382
aInnXY-LHm,0.024893591
aInnXY-LHm,-0.124500674
aInnXY-LHm,-0.206403065
aInnXY-LHm,-0.14788765
aInnXY-LHm,-0.028646317
aInnXY-LHm,-0.072517681
aInnXY-LHm,-0.122084627
aInnXY-LHm,-0.070382419
aInnXY-LHm,-0.144532652
aInnXY-LHm,-0.109994283
aInnXY-LHm,-0.011701694
aInnXY-LHm,-0.012041351
aInnXY-LHm,-0.355922354
aInnXY-LHm,-0.024827125
aInnXY-LHm,-0.046200427
aInnXY-LHm,0.1221381
aInnXY-LHm,-0.246892023
aInnXY-LHm,-0.125275484
aInnXY-LHm,0.096409989
aInnXY-LHm,-0.038132187
aInnXY-LHm,-0.04135743
aInnXY-LHm,-0.034292354
aInnXY-LHm,-0.258648461
aInnXY-LHm,-0.030260749
aInnXY-LHm,-0.161664376
aInnXY-LHm,-0.037577155
aInnXY-LHm,-0.09329988
aInnXY-LHm,0.011657471
aInnXY-LHm,-0.089520188
aInnXY-LHm,0.053538128
aInnXY-LHm,-0.144827714
aInnXY-LHm,-0.118492463
aInnXY-LHm,0.032949514
aInnXY-LHm,-0.043632202
aInnXY-LHm,-0.230939697
aInnXY-LHm,-0.107251551
aInnXY-LHm,-0.039738592
aInnXY-LHm,0.071986454
aInnXY-LHm,-0.140020908
aInnXY-LHm,-0.045509575
aInnXY-LHm,-0.029791933
aInnXY-LHm,-0.142566046
aInnXY-LHm,0.06430988
aInnXY-LHm,-0.038677769
aInnXY-LHm,-0.15910956
aInnXY-LHm,-0.03795287
aInnXY-LHm,-0.011777633
aInnXY-LHm,-0.050519723
aInnXY-LHm,-0.29841248
aInnXY-LHm,-0.130599121
aInnXY-LHm,-0.100279812
aInnXY-LHm,-0.093339854
aInnXY-LHm,-0.174756753
aInnXY-LHm,0.048906486
aInnXY-LHm,0.072566036
aInnXY-LHm,-0.079560544
aInnXY-LHm,0.051077085
aInnXY-LHm,-0.161764175
aInnXY-LHm,0.089699958
aInnXY-LHm,-0.077312146
aInnXY-LHm,-0.208764045
aInnXY-LHm,0.000704352
aInnXY-LHm,-0.1598909
aInnXY-LHm,0.003830188
aInnXY-LHm,-0.192166273
aInnXY-LHm,-0.160695182
aInnXY-LHm,0.088886413
aInnXY-LHm,0.005371656
aInnXY-LHm,-0.114049137
aInnXY-LHm,0.09541495
aInnXY-LHm,0.017944778
aInnXY-LHm,-0.219411154
aInnXY-LHm,-0.008765928
aInnXY-LHm,-0.008244231
aInnXY-LHm,-0.035851112
aInnXY-LHm,0.042675549
aInnXY-LHm,-0.157979823
aInnXY-LHm,0.066666615
aInnXY-LHm,-0.134390179
aInnXY-LHm,0.104319071
aInnXY-LHm,-0.012651581
aInnXY-LHm,-0.077057178
aInnXY-LHm,0.071974097
aInnXY-LHm,-0.044915219
aInnXY-LHm,-0.016355825
aInnXY-LHm,-0.297016171
aInnXY-LHm,-0.039984572
aInnXY-LHm,0.13817145
aInnXY-LHm,-0.032737751
aInnXY-LHm,-0.154192969
aInnXY-LHm,-0.157601221
aInnXY-LHm,-0.009516533
aInnXY-LHm,-0.066296151
aInnXY-LHm,-0.096399403
aInnXY-LHm,-0.086479421
aInnXY-LHm,-0.059005642
aInnXY-LHm,-0.131878922
aInnXY-LHm,-0.182870096
aInnXY-LHm,0.068853915
aInnXY-LHm,-0.160381457
aInnXY-LHm,-0.08867887
aInnXY-LHm,-0.014964534
aInnXY-LHm,-0.064159992
aInnXY-LHm,0.160396848
aInnXY-LHm,-0.004774585
aInnXY-LHm,0.100052282
aInnXY-LHm,-0.216284823
aInnXY-LHm,0.06286925
aInnXY-LHm,-0.026943201
aInnXY-LHm,0.04633728
aInnXY-LHm,-0.043257693
aInnXY-LHm,-0.087085139
aInnXY-LHm,0.12371971
aInnXY-LHm,0.016554857
aInnXY-LHm,-0.109065195
aInnXY-LHm,-0.013737717
aInnXY-LHm,-0.101752874
aInnXY-LHm,0.079285418
aInnXY-LHm,-0.072270638
aInnXY-LHm,-0.185054239
aInnXY-LHm,0.065668141
aInnXY-LHm,-0.094862097
aInnXY-LHm,-0.088219969
aInnXY-LHm,-0.157588976
aInnXY-LHm,-0.115226111
aInnXY-LHm,-0.108233298
aInnXY-LHm,0.102147101
aInnXY-LHm,0.036403537
aInnXY-LHm,-0.138756203
aInnXY-LHm,-0.043649588
aInnXY-LHm,-0.144133547
aInnXY-LHm,-0.013466964
aInnXY-LHm,0.059586356
aInnXY-LHm,-0.12575096
aInnXY-LHm,-0.32228478
