population,deltaProp_male
aLHmX-Inn,-0.044990513
aLHmX-Inn,-0.056824923
aLHmX-Inn,-0.003479682
aLHmX-Inn,-0.054525605
aLHmX-Inn,0.001151078
aLHmX-Inn,-0.01707561
aLHmX-Inn,-0.016290904
aLHmX-Inn,-0.026014343
aLHmX-Inn,-0.02068474
aLHmX-Inn,-4.82E-06
aLHmX-Inn,-0.028053313
aLHmX-Inn,0.027167143
aLHmX-Inn,-0.036264921
aLHmX-Inn,-0.034101106
aLHmX-Inn,-0.004930792
aLHmX-Inn,-0.042747764
aLHmX-Inn,-0.024173187
aLHmX-Inn,-0.026428848
aLHmX-Inn,-0.006661107
aLHmX-Inn,-0.001704249
aLHmX-Inn,-0.016079536
aLHmX-Inn,-0.018152491
aLHmX-Inn,-0.02148541
aLHmX-Inn,-0.035629283
aLHmX-Inn,-0.052492486
aLHmX-Inn,-0.005767166
aLHmX-Inn,-0.01938877
aLHmX-Inn,-0.010482243
aLHmX-Inn,-0.078093573
aLHmX-Inn,-0.044523246
aLHmX-Inn,-0.017638501
aLHmX-Inn,-0.035502609
aLHmX-Inn,0.003846789
aLHmX-Inn,-0.005343868
aLHmX-Inn,-0.006900146
aLHmX-Inn,0.016460874
aLHmX-Inn,-0.016003648
aLHmX-Inn,-0.026750035
aLHmX-Inn,-0.015208299
aLHmX-Inn,-0.042450407
aLHmX-Inn,-0.041466142
aLHmX-Inn,-0.026158034
aLHmX-Inn,-0.034078384
aLHmX-Inn,-0.027675153
aLHmX-Inn,-0.000715942
aLHmX-Inn,-0.005742094
aLHmX-Inn,-0.01868748
aLHmX-Inn,-0.005912403
aLHmX-Inn,-0.033438596
aLHmX-Inn,-0.007985046
aLHmX-Inn,-0.010407067
aLHmX-Inn,0.005388024
aLHmX-Inn,-0.024690922
aLHmX-Inn,-0.013312189
aLHmX-Inn,-0.020797903
aLHmX-Inn,-0.024983994
aLHmX-Inn,-0.004479611
aLHmX-Inn,-0.044614664
aLHmX-Inn,0.002230526
aLHmX-Inn,-0.012401558
aLHmX-Inn,-0.03248321
aLHmX-Inn,-0.015093694
aLHmX-Inn,-0.020303622
aLHmX-Inn,-0.035863668
aLHmX-Inn,-0.018144501
aLHmX-Inn,-0.012417868
aLHmX-Inn,-0.043005169
aLHmX-Inn,0.00355172
aLHmX-Inn,-0.043421202
aLHmX-Inn,-0.023921171
aLHmX-Inn,-0.038344195
aLHmX-Inn,-0.007087165
aLHmX-Inn,-0.035830262
aLHmX-Inn,-0.043527056
aLHmX-Inn,0.020620249
aLHmX-Inn,-0.008103703
aLHmX-Inn,-0.020864473
aLHmX-Inn,-0.022143701
aLHmX-Inn,-0.055935119
aLHmX-Inn,-0.027702029
aLHmX-Inn,-0.031315992
aLHmX-Inn,0.010796089
aLHmX-Inn,-0.016434602
aLHmX-Inn,-0.020729266
aLHmX-Inn,-0.029459226
aLHmX-Inn,-0.009747013
aLHmX-Inn,-0.038131084
aLHmX-Inn,-0.041136185
aLHmX-Inn,-0.0144833
aLHmX-Inn,-0.029813254
aLHmX-Inn,-0.052927875
aLHmX-Inn,-0.030285132
aLHmX-Inn,-0.009362125
aLHmX-Inn,-0.027949084
aLHmX-Inn,-0.024659378
aLHmX-Inn,-0.016971912
aLHmX-Inn,-0.025158645
aLHmX-Inn,-0.004114222
aLHmX-Inn,-0.033383672
aLHmX-Inn,-0.037583257
aLHmX-Inn,0.015922302
aLHmX-Inn,-0.032125149
aLHmX-Inn,0.01337011
aLHmX-Inn,-0.000390601
aLHmX-Inn,0.000523101
aLHmX-Inn,-0.023758133
aLHmX-Inn,0.011080604
aLHmX-Inn,-0.032318418
aLHmX-Inn,-0.005278547
aLHmX-Inn,-0.036538303
aLHmX-Inn,-0.044865077
aLHmX-Inn,-0.006594088
aLHmX-Inn,-0.042686702
aLHmX-Inn,-0.057237037
aLHmX-Inn,-0.030658111
aLHmX-Inn,-0.015129463
aLHmX-Inn,-0.011389368
aLHmX-Inn,-0.050103615
aLHmX-Inn,-0.025416433
aLHmX-Inn,0.004020755
aLHmX-Inn,-0.00072107
aLHmX-Inn,-0.035288922
aLHmX-Inn,-0.040021448
aLHmX-Inn,-0.002768046
aLHmX-Inn,-0.021388379
aLHmX-Inn,0.01378373
aLHmX-Inn,-0.023841049
aLHmX-Inn,-0.039927318
aLHmX-Inn,-0.010303785
aLHmX-Inn,-0.020168359
aLHmX-Inn,-0.00777813
aLHmX-Inn,-0.020682104
aLHmX-Inn,-0.051677956
aLHmX-Inn,-0.050963284
aLHmX-Inn,-0.01980714
aLHmX-Inn,-0.024230462
aLHmX-Inn,-0.047206681
aLHmX-Inn,-0.001315157
aLHmX-Inn,-0.009615994
aLHmX-Inn,-0.031260721
aLHmX-Inn,0.010693773
aLHmX-Inn,-0.04000707
aLHmX-Inn,-0.012970705
aLHmX-Inn,-0.035852587
aLHmX-Inn,-0.013108098
aLHmX-Inn,-0.01444181
aLHmX-Inn,0.007919372
aLHmX-Inn,0.024117829
aLHmX-Inn,-0.019609034
aLHmX-Inn,-0.007777626
aLHmX-Inn,-0.016725917
aLHmX-Inn,-0.042904796
aLHmX-Inn,-0.036085474
aLHmX-Inn,-0.046123486
aLHmX-Inn,-0.022209458
aLHmX-Inn,-0.04726722
aLHmX-Inn,-0.029475934
aLHmX-Inn,-0.031467347
aLHmX-Inn,-0.032805313
aLHmX-Inn,0.015118056
aLHmX-Inn,-0.001235359
aLHmX-Inn,-0.034165307
aLHmX-Inn,-0.016566709
aLHmX-Inn,-0.010115013
aLHmX-Inn,-0.003388775
aLHmX-Inn,0.003416688
aLHmX-Inn,-0.009810716
aLHmX-Inn,-0.027040604
