population,deltaprop_red
aLHmX-Inn,0.044471617
aLHmX-Inn,0.110246568
aLHmX-Inn,0.063892893
aLHmX-Inn,0.02842053
aLHmX-Inn,0.071926015
aLHmX-Inn,0.041868237
aLHmX-Inn,0.236411679
aLHmX-Inn,0.062915143
aLHmX-Inn,0.043314518
aLHmX-Inn,0.04731099
aLHmX-Inn,-0.000992966
aLHmX-Inn,0.058887566
aLHmX-Inn,0.15561129
aLHmX-Inn,0.085880134
aLHmX-Inn,0.0395211
aLHmX-Inn,0.062857895
aLHmX-Inn,0.111633031
aLHmX-Inn,0.061117535
aLHmX-Inn,0.14494352
aLHmX-Inn,0.108844931
aLHmX-Inn,0.078567572
aLHmX-Inn,0.112090596
aLHmX-Inn,0.117097916
aLHmX-Inn,0.041170947
aLHmX-Inn,0.064405969
aLHmX-Inn,0.022093882
aLHmX-Inn,0.048505593
aLHmX-Inn,0.104012325
aLHmX-Inn,0.064013383
aLHmX-Inn,0.114375874
aLHmX-Inn,0.120998955
aLHmX-Inn,0.068283512
aLHmX-Inn,0.053379595
aLHmX-Inn,0.104760273
aLHmX-Inn,0.090702252
aLHmX-Inn,0.134612981
aLHmX-Inn,0.062548753
aLHmX-Inn,0.072011861
aLHmX-Inn,0.130036032
aLHmX-Inn,0.178851214
aLHmX-Inn,0.125089878
aLHmX-Inn,0.023290267
aLHmX-Inn,0.073585771
aLHmX-Inn,0.014632509
aLHmX-Inn,0.128476992
aLHmX-Inn,0.116213415
aLHmX-Inn,0.080646133
aLHmX-Inn,0.05760884
aLHmX-Inn,0.133212599
aLHmX-Inn,0.063098415
aLHmX-Inn,0.046619703
aLHmX-Inn,0.139517395
aLHmX-Inn,0.083726771
aLHmX-Inn,0.050103048
aLHmX-Inn,0.095992673
aLHmX-Inn,0.096779179
aLHmX-Inn,0.026996923
aLHmX-Inn,0.061482916
aLHmX-Inn,0.20522343
aLHmX-Inn,0.075340512
aLHmX-Inn,0.047137924
aLHmX-Inn,0.174058579
aLHmX-Inn,0.115030585
aLHmX-Inn,0.179325889
aLHmX-Inn,0.07425563
aLHmX-Inn,0.089077794
aLHmX-Inn,0.052768383
aLHmX-Inn,0.162023101
aLHmX-Inn,-0.021080021
aLHmX-Inn,0.047231919
aLHmX-Inn,-0.015161549
aLHmX-Inn,0.077919395
aLHmX-Inn,0.013944257
aLHmX-Inn,0.007468127
aLHmX-Inn,0.086667944
aLHmX-Inn,0.083542659
aLHmX-Inn,0.166918806
aLHmX-Inn,0.050766173
aLHmX-Inn,0.112429004
aLHmX-Inn,0.054143552
aLHmX-Inn,0.0160556
aLHmX-Inn,0.160653591
aLHmX-Inn,0.121800945
aLHmX-Inn,0.078539693
aLHmX-Inn,0.104934679
aLHmX-Inn,0.116449113
aLHmX-Inn,0.066110629
aLHmX-Inn,0.084421151
aLHmX-Inn,0.060810569
aLHmX-Inn,0.057150788
aLHmX-Inn,0.02551241
aLHmX-Inn,0.090086016
aLHmX-Inn,0.129743279
aLHmX-Inn,0.030205324
aLHmX-Inn,0.123981472
aLHmX-Inn,0.071318485
aLHmX-Inn,0.122158659
aLHmX-Inn,0.141744944
aLHmX-Inn,0.071153766
aLHmX-Inn,0.123331428
aLHmX-Inn,0.01461089
aLHmX-Inn,0.117807194
aLHmX-Inn,0.133721711
