population,treatment,block,vial,red,total
lOdd-Ix,bnovelX,A,6,74,417
lOdd-Ix,bnovelX,A,7,171,457
lOdd-Ix,bnovelX,B,1,159,543
lOdd-Ix,bnovelX,B,2,109,385
lOdd-Ix,bnovelX,B,3,104,432
lOdd-Ix,bnovelX,B,4,174,630
lOdd-Ix,bnovelX,B,5,89,428
lOdd-Ix,bnovelX,B,6,122,422
lOdd-Ix,bnovelX,B,7,104,424
mOdd-Iy,cnovelY,A,1,189,519
mOdd-Iy,cnovelY,A,2,174,445
mOdd-Iy,cnovelY,A,3,148,515
mOdd-Iy,cnovelY,A,4,184,569
mOdd-Iy,cnovelY,A,5,230,550
mOdd-Iy,cnovelY,A,6,139,486
mOdd-Iy,cnovelY,A,7,156,418
mOdd-Iy,cnovelY,B,1,103,419
mOdd-Iy,cnovelY,B,2,139,461
mOdd-Iy,cnovelY,B,3,55,451
mOdd-Iy,cnovelY,B,4,129,547
mOdd-Iy,cnovelY,B,5,134,544
mOdd-Iy,cnovelY,B,6,72,490
mOdd-Iy,cnovelY,B,7,125,529
nOdd-Dx,bnovelX,A,1,207,483
nOdd-Dx,bnovelX,A,2,127,388
nOdd-Dx,bnovelX,A,3,79,460
nOdd-Dx,bnovelX,A,4,177,475
nOdd-Dx,bnovelX,A,5,183,529
nOdd-Dx,bnovelX,A,6,114,438
nOdd-Dx,bnovelX,A,7,169,427
nOdd-Dx,bnovelX,B,1,147,519
nOdd-Dx,bnovelX,B,2,198,504
nOdd-Dx,bnovelX,B,3,153,389
nOdd-Dx,bnovelX,B,4,130,436
nOdd-Dx,bnovelX,B,5,161,604
nOdd-Dx,bnovelX,B,6,63,103
nOdd-Dx,bnovelX,B,7,212,427
oOdd-Dy,cnovelY,A,1,182,507
oOdd-Dy,cnovelY,A,2,76,535
oOdd-Dy,cnovelY,A,3,83,558
oOdd-Dy,cnovelY,A,4,182,606
oOdd-Dy,cnovelY,A,5,112,493
oOdd-Dy,cnovelY,A,6,140,559
oOdd-Dy,cnovelY,A,7,191,493
oOdd-Dy,cnovelY,B,1,128,494
oOdd-Dy,cnovelY,B,2,58,394
oOdd-Dy,cnovelY,B,3,91,433
oOdd-Dy,cnovelY,B,4,136,408
oOdd-Dy,cnovelY,B,5,70,295
oOdd-Dy,cnovelY,B,6,147,462
oOdd-Dy,cnovelY,B,7,111,471
pDahomey,awt,A,1,45,573
pDahomey,awt,A,2,48,482
pDahomey,awt,A,3,26,539
pDahomey,awt,A,4,93,548
pDahomey,awt,A,5,56,433
pDahomey,awt,A,6,89,306
pDahomey,awt,A,7,91,488
pDahomey,awt,B,1,192,651
pDahomey,awt,B,2,92,483
pDahomey,awt,B,3,112,380
pDahomey,awt,B,4,89,463
pDahomey,awt,B,5,135,523
pDahomey,awt,B,6,134,526
pDahomey,awt,B,7,249,645
qDah-Ox,bnovelX,A,1,107,446
qDah-Ox,bnovelX,A,2,82,383
qDah-Ox,bnovelX,A,3,67,312
qDah-Ox,bnovelX,A,4,41,419
qDah-Ox,bnovelX,A,5,89,334
qDah-Ox,bnovelX,A,6,116,383
qDah-Ox,bnovelX,A,7,45,415
qDah-Ox,bnovelX,B,1,71,404
qDah-Ox,bnovelX,B,2,91,520
qDah-Ox,bnovelX,B,3,57,465
qDah-Ox,bnovelX,B,4,77,514
qDah-Ox,bnovelX,B,5,60,374
qDah-Ox,bnovelX,B,6,88,413
qDah-Ox,bnovelX,B,7,165,453
rDah-Oy,cnovelY,A,1,79,512
rDah-Oy,cnovelY,A,2,100,421
rDah-Oy,cnovelY,A,3,95,321
rDah-Oy,cnovelY,A,4,122,451
rDah-Oy,cnovelY,A,5,93,447
rDah-Oy,cnovelY,A,6,126,327
rDah-Oy,cnovelY,A,7,181,472
rDah-Oy,cnovelY,B,1,171,425
rDah-Oy,cnovelY,B,2,116,471
rDah-Oy,cnovelY,B,3,74,506
rDah-Oy,cnovelY,B,4,107,413
rDah-Oy,cnovelY,B,5,111,322
rDah-Oy,cnovelY,B,6,99,489
rDah-Oy,cnovelY,B,7,97,484
sDah-Tx,bnovelX,A,1,118,481
sDah-Tx,bnovelX,A,2,75,396
sDah-Tx,bnovelX,A,3,73,289
sDah-Tx,bnovelX,A,4,86,429
sDah-Tx,bnovelX,A,5,83,412
sDah-Tx,bnovelX,A,6,61,432
sDah-Tx,bnovelX,A,7,47,323
sDah-Tx,bnovelX,B,1,154,587
sDah-Tx,bnovelX,B,2,141,433
sDah-Tx,bnovelX,B,3,143,536
sDah-Tx,bnovelX,B,4,151,547
sDah-Tx,bnovelX,B,5,132,487
sDah-Tx,bnovelX,B,6,174,478
sDah-Tx,bnovelX,B,7,58,538
tDah-Ty,cnovelY,A,1,117,561
tDah-Ty,cnovelY,A,2,119,472
tDah-Ty,cnovelY,A,3,99,475
tDah-Ty,cnovelY,A,4,216,540
tDah-Ty,cnovelY,A,5,141,564
tDah-Ty,cnovelY,A,6,91,592
tDah-Ty,cnovelY,A,7,123,517
tDah-Ty,cnovelY,B,1,80,417
tDah-Ty,cnovelY,B,2,148,458
tDah-Ty,cnovelY,B,3,56,336
tDah-Ty,cnovelY,B,4,56,398
tDah-Ty,cnovelY,B,5,63,442
tDah-Ty,cnovelY,B,6,64,324
tDah-Ty,cnovelY,B,7,82,504
uTasmania,awt,A,1,131,587
uTasmania,awt,A,2,0,510
uTasmania,awt,A,3,117,267
uTasmania,awt,A,4,22,365
uTasmania,awt,A,5,6,499
uTasmania,awt,A,6,8,471
uTasmania,awt,A,7,15,511
uTasmania,awt,B,1,278,560
uTasmania,awt,B,2,87,390
uTasmania,awt,B,3,90,278
uTasmania,awt,B,4,70,540
uTasmania,awt,B,5,161,494
uTasmania,awt,B,6,124,490
uTasmania,awt,B,7,90,440
vTas-Dx,bnovelX,A,1,107,411
vTas-Dx,bnovelX,A,2,75,370
vTas-Dx,bnovelX,A,3,139,500
vTas-Dx,bnovelX,A,4,84,361
vTas-Dx,bnovelX,A,5,103,360
vTas-Dx,bnovelX,A,6,93,450
vTas-Dx,bnovelX,A,7,96,418
vTas-Dx,bnovelX,B,1,116,513
vTas-Dx,bnovelX,B,2,240,445
vTas-Dx,bnovelX,B,3,71,416
vTas-Dx,bnovelX,B,4,47,690
vTas-Dx,bnovelX,B,5,131,298
vTas-Dx,bnovelX,B,6,76,450
vTas-Dx,bnovelX,B,7,126,539
wTas-Dy,cnovelY,A,1,160,486
wTas-Dy,cnovelY,A,2,75,377
wTas-Dy,cnovelY,A,3,78,363
wTas-Dy,cnovelY,A,4,82,413
wTas-Dy,cnovelY,A,5,36,354
wTas-Dy,cnovelY,A,6,55,366
