rep_population,population,treatment,block,vial,red,total
RP1,lDahomey,awt,A,2,64,118
RP1,lDahomey,awt,A,3,100,164
RP1,lDahomey,awt,B,1,46,146
RP1,lDahomey,awt,B,2,61,180
RP1,lDahomey,awt,B,3,102,218
RP2,lDahomey,awt,A,1,54,188
RP2,lDahomey,awt,A,2,72,185
RP2,lDahomey,awt,A,3,115,192
RP2,lDahomey,awt,B,1,77,247
RP2,lDahomey,awt,B,2,62,256
RP2,lDahomey,awt,B,3,146,325
