population,deltafitness
aLHmX_Inn,0.071941351
aLHmX_Inn,0.077890942
aLHmX_Inn,0.101618663
aLHmX_Inn,0.061609067
aLHmX_Inn,0.166059176
aLHmX_Inn,0.108783512
aLHmX_Inn,-0.046069371
aLHmX_Inn,0.087944718
aLHmX_Inn,0.126027008
aLHmX_Inn,0.047130206
aLHmX_Inn,0.039540469
aLHmX_Inn,0.142918257
aLHmX_Inn,0.133368081
aLHmX_Inn,0.134548755
aLHmX_Inn,0.100552485
aLHmX_Inn,0.048254033
aLHmX_Inn,0.040470367
aLHmX_Inn,0.104794502
aLHmX_Inn,0.127281904
aLHmX_Inn,0.063274823
aLHmX_Inn,0.101151226
aLHmX_Inn,0.030031657
aLHmX_Inn,0.029336679
aLHmX_Inn,0.117967676
aLHmX_Inn,0.09730352
aLHmX_Inn,0.071027431
aLHmX_Inn,0.139647967
aLHmX_Inn,0.131022969
aLHmX_Inn,0.064229811
aLHmX_Inn,0.141685342
aLHmX_Inn,0.064251418
aLHmX_Inn,0.109615352
aLHmX_Inn,0.034083003
aLHmX_Inn,0.130105604
aLHmX_Inn,-0.092893414
aLHmX_Inn,0.084090575
aLHmX_Inn,0.210724358
aLHmX_Inn,0.057528614
aLHmX_Inn,0.074321323
aLHmX_Inn,0.154721206
aLHmX_Inn,0.019205039
aLHmX_Inn,0.053231956
aLHmX_Inn,0.098737879
aLHmX_Inn,0.060931993
aLHmX_Inn,0.008736878
aLHmX_Inn,-0.058170158
aLHmX_Inn,-0.026671912
aLHmX_Inn,0.029005039
aLHmX_Inn,0.140493619
aLHmX_Inn,0.012487185
aLHmX_Inn,0.139171564
aLHmX_Inn,0.100761198
aLHmX_Inn,0.131819733
aLHmX_Inn,0.056918051
aLHmX_Inn,0.118393741
aLHmX_Inn,0.055752201
aLHmX_Inn,0.050038744
aLHmX_Inn,0.068379387
aLHmX_Inn,0.045151582
aLHmX_Inn,0.153300935
aLHmX_Inn,0.175351594
aLHmX_Inn,0.09646374
aLHmX_Inn,0.133164456
aLHmX_Inn,0.132447636
aLHmX_Inn,0.13731841
aLHmX_Inn,0.121868392
aLHmX_Inn,0.105445599
aLHmX_Inn,0.126039051
aLHmX_Inn,0.063868237
aLHmX_Inn,0.019108695
aLHmX_Inn,0.103373727
aLHmX_Inn,0.105069796
aLHmX_Inn,0.027439611
aLHmX_Inn,0.012578936
aLHmX_Inn,0.118728918
aLHmX_Inn,-0.006777585
aLHmX_Inn,0.129117382
aLHmX_Inn,0.010079108
aLHmX_Inn,0.149031756
aLHmX_Inn,0.149755864
aLHmX_Inn,0.104527245
aLHmX_Inn,0.125378257
aLHmX_Inn,-0.089842287
aLHmX_Inn,0.117853393
aLHmX_Inn,0.034695931
aLHmX_Inn,0.017792455
aLHmX_Inn,0.06959056
aLHmX_Inn,0.113938364
aLHmX_Inn,0.117580327
aLHmX_Inn,0.046783243
aLHmX_Inn,0.090244771
aLHmX_Inn,0.169723907
aLHmX_Inn,-0.007213184
aLHmX_Inn,0.111564669
aLHmX_Inn,0.090035131
aLHmX_Inn,0.073267712
aLHmX_Inn,0.159791845
aLHmX_Inn,0.078429873
aLHmX_Inn,0.008181695
aLHmX_Inn,0.034315283
aLHmX_Inn,0.139200226
aLHmX_Inn,0.139314654
aLHmX_Inn,0.172237914
aLHmX_Inn,0.089549387
aLHmX_Inn,0.062006428
aLHmX_Inn,0.077790218
aLHmX_Inn,0.100904245
