population,deltaProp_male
aLHmX_Inn,0.032391622
aLHmX_Inn,0.028782366
aLHmX_Inn,-0.017292171
aLHmX_Inn,0.01043356
aLHmX_Inn,0.04527702
aLHmX_Inn,-0.020700193
aLHmX_Inn,0.033707459
aLHmX_Inn,0.01902341
aLHmX_Inn,0.035694058
aLHmX_Inn,0.016781166
aLHmX_Inn,0.050299515
aLHmX_Inn,0.043735404
aLHmX_Inn,0.042223465
aLHmX_Inn,0.008106464
aLHmX_Inn,0.041350507
aLHmX_Inn,0.053017681
aLHmX_Inn,0.038285634
aLHmX_Inn,0.048333529
aLHmX_Inn,0.016110948
aLHmX_Inn,0.02904301
aLHmX_Inn,-0.025021297
aLHmX_Inn,-0.002636062
aLHmX_Inn,0.040318824
aLHmX_Inn,-0.037858038
aLHmX_Inn,0.04640422
aLHmX_Inn,0.047403933
aLHmX_Inn,0.039517216
aLHmX_Inn,0.018634431
aLHmX_Inn,0.032043008
aLHmX_Inn,0.031484684
aLHmX_Inn,0.030798167
aLHmX_Inn,0.037257964
aLHmX_Inn,0.075195866
aLHmX_Inn,0.068922463
aLHmX_Inn,0.001043429
aLHmX_Inn,0.056143416
aLHmX_Inn,0.040963932
aLHmX_Inn,0.051264655
aLHmX_Inn,0.04585794
aLHmX_Inn,0.041040949
aLHmX_Inn,0.037543443
aLHmX_Inn,0.024479414
aLHmX_Inn,0.034513211
aLHmX_Inn,0.017317454
aLHmX_Inn,0.000635775
aLHmX_Inn,0.02704382
aLHmX_Inn,0.046515791
aLHmX_Inn,0.029346719
aLHmX_Inn,0.052357468
aLHmX_Inn,0.042564253
aLHmX_Inn,0.058455346
aLHmX_Inn,0.020012682
aLHmX_Inn,-0.010166886
aLHmX_Inn,0.049586987
aLHmX_Inn,0.018881963
aLHmX_Inn,0.026232354
aLHmX_Inn,0.064737199
aLHmX_Inn,0.07084196
aLHmX_Inn,0.061927964
aLHmX_Inn,0.056478689
aLHmX_Inn,0.030041948
aLHmX_Inn,0.009301921
aLHmX_Inn,0.0470149
aLHmX_Inn,0.040974807
aLHmX_Inn,0.041641353
aLHmX_Inn,-0.013584437
aLHmX_Inn,0.04479663
aLHmX_Inn,0.021621678
aLHmX_Inn,0.015788358
aLHmX_Inn,-0.001547956
aLHmX_Inn,0.016882098
aLHmX_Inn,0.019910813
aLHmX_Inn,0.049617861
aLHmX_Inn,0.058599309
aLHmX_Inn,0.024523103
aLHmX_Inn,0.067391934
aLHmX_Inn,0.030846795
aLHmX_Inn,0.062661232
aLHmX_Inn,0.027413906
aLHmX_Inn,0.006958824
aLHmX_Inn,-0.003922565
aLHmX_Inn,0.007905155
aLHmX_Inn,0.031305353
aLHmX_Inn,0.08844803
aLHmX_Inn,0.017047544
aLHmX_Inn,0.066988087
aLHmX_Inn,0.054770898
aLHmX_Inn,-0.01942925
aLHmX_Inn,0.032027919
aLHmX_Inn,0.027931272
aLHmX_Inn,0.040893331
aLHmX_Inn,0.019558559
aLHmX_Inn,0.017988123
aLHmX_Inn,0.026674005
aLHmX_Inn,0.030684562
aLHmX_Inn,0.058222534
aLHmX_Inn,0.0100297
aLHmX_Inn,0.010789479
aLHmX_Inn,0.013105313
aLHmX_Inn,0.016818566
aLHmX_Inn,0.053532124
aLHmX_Inn,0.023372181
aLHmX_Inn,0.020421872
aLHmX_Inn,0.046059001
aLHmX_Inn,0.031548649
aLHmX_Inn,0.028834761
aLHmX_Inn,0.045837442
aLHmX_Inn,0.010182529
aLHmX_Inn,0.035799802
aLHmX_Inn,-0.007755531
aLHmX_Inn,0.014426143
aLHmX_Inn,0.046459147
