population,deltaEggs
aInnY-LHm,-19.81481482
aInnY-LHm,-15.66851852
aInnY-LHm,-10.71851852
aInnY-LHm,-22.17777778
aInnY-LHm,-10.07222222
aInnY-LHm,-22.94259259
aInnY-LHm,-14.62777778
aInnY-LHm,-17.27222222
aInnY-LHm,-14.47592593
aInnY-LHm,-20.14259259
aInnY-LHm,-17.01296296
aInnY-LHm,-21.25740741
aInnY-LHm,-23.38518519
aInnY-LHm,-13.40740741
aInnY-LHm,-20.27222222
aInnY-LHm,-17.18703704
aInnY-LHm,-11.06111111
aInnY-LHm,-23.07407408
aInnY-LHm,-9.716666667
aInnY-LHm,-17.42962963
aInnY-LHm,-19.10925926
aInnY-LHm,-12.93518519
aInnY-LHm,-25.24814815
aInnY-LHm,-10.51666667
aInnY-LHm,-16.19259259
aInnY-LHm,-14.81666667
aInnY-LHm,-7.570370371
aInnY-LHm,-17.11111111
aInnY-LHm,-12.43518519
aInnY-LHm,-17.82407407
aInnY-LHm,-19.29814815
aInnY-LHm,-15.61296296
aInnY-LHm,-11.06111111
aInnY-LHm,-12.18518519
aInnY-LHm,-16.82407407
aInnY-LHm,-9.257407408
aInnY-LHm,-16.44814815
aInnY-LHm,-7.833333333
aInnY-LHm,-23.04814815
aInnY-LHm,-19.9462963
aInnY-LHm,-20.87592593
aInnY-LHm,-11.28148148
aInnY-LHm,-16.63333333
aInnY-LHm,-5.785185186
aInnY-LHm,-1.85
aInnY-LHm,-13.39444444
aInnY-LHm,-12.47962963
aInnY-LHm,-18.7462963
aInnY-LHm,-14.11296296
aInnY-LHm,-18.56481482
aInnY-LHm,-26.19814815
aInnY-LHm,-22.31666667
aInnY-LHm,-13.12407407
aInnY-LHm,-10.85555556
aInnY-LHm,-21.79259259
aInnY-LHm,-15.33703704
aInnY-LHm,-16.35740741
aInnY-LHm,-13.67222222
aInnY-LHm,-7.683333333
aInnY-LHm,-14.98333333
aInnY-LHm,-18.49814815
aInnY-LHm,-4.957407408
aInnY-LHm,-13.8462963
aInnY-LHm,-12.46481482
aInnY-LHm,-21.37407407
aInnY-LHm,-5.512962963
aInnY-LHm,-10.12222222
aInnY-LHm,-19.53518519
aInnY-LHm,-18.55925926
aInnY-LHm,-11.17407407
aInnY-LHm,-6.022222222
aInnY-LHm,-12.70740741
aInnY-LHm,-17.25185185
aInnY-LHm,-4.155555556
aInnY-LHm,-13.04444444
aInnY-LHm,-16.56666667
aInnY-LHm,-8.988888889
aInnY-LHm,-24.55
aInnY-LHm,-10.09814815
aInnY-LHm,-19.87592593
aInnY-LHm,-9.55
aInnY-LHm,-18.81296296
aInnY-LHm,-20.91481482
aInnY-LHm,-26.27407407
aInnY-LHm,-16.32037037
aInnY-LHm,-1.127777778
aInnY-LHm,-17.91111111
aInnY-LHm,-13.68333333
aInnY-LHm,-18.46111111
aInnY-LHm,-15.75925926
aInnY-LHm,-17.70740741
aInnY-LHm,-3.105555556
aInnY-LHm,-17.12037037
aInnY-LHm,-21.2537037
aInnY-LHm,-5.688888889
aInnY-LHm,-11.29259259
aInnY-LHm,-17.3037037
aInnY-LHm,-16.19444445
aInnY-LHm,-16.67592593
aInnY-LHm,-14.30185185
aInnY-LHm,-13.67777778
