rep_population,population,treatment,female,red,total
RP1,fInn-Oy,cnovelY,9,10,11
RP1,fInn-Oy,cnovelY,10,20,24
RP1,fInn-Oy,cnovelY,11,11,14
RP1,fInn-Oy,cnovelY,12,23,23
RP1,fInn-Oy,cnovelY,13,8,8
RP1,fInn-Oy,cnovelY,14,8,12
RP1,fInn-Oy,cnovelY,15,18,23
RP1,fInn-Oy,cnovelY,16,9,9
RP2,fInn-Oy,cnovelY,1,NA,NA
RP2,fInn-Oy,cnovelY,2,16,20
RP2,fInn-Oy,cnovelY,3,12,12
RP2,fInn-Oy,cnovelY,4,16,16
RP2,fInn-Oy,cnovelY,5,11,11
RP2,fInn-Oy,cnovelY,6,13,17
RP2,fInn-Oy,cnovelY,7,11,13
RP2,fInn-Oy,cnovelY,8,NA,NA
RP2,fInn-Oy,cnovelY,9,18,19
RP2,fInn-Oy,cnovelY,10,9,10
RP2,fInn-Oy,cnovelY,11,20,20
RP2,fInn-Oy,cnovelY,12,18,37
RP1,gOdder,awt,1,NA,NA
RP1,gOdder,awt,2,14,14
RP1,gOdder,awt,3,8,9
RP1,gOdder,awt,4,15,20
RP1,gOdder,awt,5,6,8
RP1,gOdder,awt,6,25,25
RP1,gOdder,awt,7,NA,NA
RP1,gOdder,awt,8,19,26
RP1,gOdder,awt,9,8,12
RP2,gOdder,awt,1,12,12
RP2,gOdder,awt,2,13,13
RP2,gOdder,awt,3,23,30
RP2,gOdder,awt,4,3,3
RP2,gOdder,awt,5,9,9
RP2,gOdder,awt,6,17,18
RP2,gOdder,awt,7,13,24
RP2,gOdder,awt,8,8,8
RP2,gOdder,awt,9,6,6
RP2,gOdder,awt,10,8,20
RP2,gOdder,awt,11,12,19
RP2,gOdder,awt,12,9,12
RP1,hOdd-Ix,bnovelX,1,11,11
RP1,hOdd-Ix,bnovelX,2,9,11
RP1,hOdd-Ix,bnovelX,3,18,18
RP1,hOdd-Ix,bnovelX,4,13,13
RP1,hOdd-Ix,bnovelX,5,NA,NA
RP1,hOdd-Ix,bnovelX,6,11,17
RP1,hOdd-Ix,bnovelX,7,16,16
RP1,hOdd-Ix,bnovelX,8,11,13
RP1,hOdd-Ix,bnovelX,9,15,15
RP1,hOdd-Ix,bnovelX,10,3,3
RP1,hOdd-Ix,bnovelX,11,15,18
RP1,hOdd-Ix,bnovelX,12,18,20
RP1,hOdd-Ix,bnovelX,13,12,12
RP1,hOdd-Ix,bnovelX,14,1,9
RP1,hOdd-Ix,bnovelX,15,15,18
RP1,hOdd-Ix,bnovelX,16,19,19
RP1,hOdd-Ix,bnovelX,17,9,16
RP1,hOdd-Ix,bnovelX,18,1,1
RP1,hOdd-Ix,bnovelX,19,23,24
RP2,hOdd-Ix,bnovelX,1,22,22
RP2,hOdd-Ix,bnovelX,2,7,7
RP2,hOdd-Ix,bnovelX,3,17,21
RP2,hOdd-Ix,bnovelX,4,17,17
RP2,hOdd-Ix,bnovelX,5,15,16
RP2,hOdd-Ix,bnovelX,6,4,4
RP2,hOdd-Ix,bnovelX,7,14,18
RP2,hOdd-Ix,bnovelX,8,23,23
RP2,hOdd-Ix,bnovelX,9,12,12
RP2,hOdd-Ix,bnovelX,10,15,15
RP2,hOdd-Ix,bnovelX,11,5,5
RP2,hOdd-Ix,bnovelX,12,11,15
RP1,iOdd-Iy,cnovelY,1,16,16
RP1,iOdd-Iy,cnovelY,2,27,27
RP1,iOdd-Iy,cnovelY,3,13,27
RP1,iOdd-Iy,cnovelY,4,11,36
RP1,iOdd-Iy,cnovelY,5,19,20
RP1,iOdd-Iy,cnovelY,6,26,32
RP1,iOdd-Iy,cnovelY,7,26,27
RP1,iOdd-Iy,cnovelY,8,27,32
RP1,iOdd-Iy,cnovelY,9,10,10
RP1,iOdd-Iy,cnovelY,10,20,22
RP1,iOdd-Iy,cnovelY,11,23,25
RP1,iOdd-Iy,cnovelY,12,14,15
RP1,iOdd-Iy,cnovelY,13,20,21
RP1,iOdd-Iy,cnovelY,14,NA,NA
RP1,iOdd-Iy,cnovelY,15,18,22
RP1,iOdd-Iy,cnovelY,16,16,16
RP1,iOdd-Iy,cnovelY,17,14,33
RP1,iOdd-Iy,cnovelY,18,21,21
RP2,iOdd-Iy,cnovelY,1,NA,NA
RP2,iOdd-Iy,cnovelY,2,14,14
RP2,iOdd-Iy,cnovelY,3,23,23
RP2,iOdd-Iy,cnovelY,4,4,5
RP2,iOdd-Iy,cnovelY,5,15,16
RP2,iOdd-Iy,cnovelY,6,17,17
RP2,iOdd-Iy,cnovelY,7,16,16
RP2,iOdd-Iy,cnovelY,8,13,13
RP2,iOdd-Iy,cnovelY,9,11,11
