population,deltaProp_red
aLHmX_Inn,0.072342462
aLHmX_Inn,0.069781826
aLHmX_Inn,-0.048973907
aLHmX_Inn,-0.1318381
aLHmX_Inn,-0.044864124
aLHmX_Inn,0.169957185
aLHmX_Inn,0.090264865
aLHmX_Inn,-0.057310873
aLHmX_Inn,0.152110079
aLHmX_Inn,0.101658184
aLHmX_Inn,0.200190234
aLHmX_Inn,0.057630711
aLHmX_Inn,0.027400307
aLHmX_Inn,0.002742922
aLHmX_Inn,-0.056800016
aLHmX_Inn,0.052823726
aLHmX_Inn,-0.128214239
aLHmX_Inn,0.096651886
aLHmX_Inn,0.174622567
aLHmX_Inn,0.069089849
aLHmX_Inn,0.082034748
aLHmX_Inn,0.136505637
aLHmX_Inn,0.039376246
aLHmX_Inn,0.095472783
aLHmX_Inn,-0.049006287
aLHmX_Inn,0.066614313
aLHmX_Inn,0.094000953
aLHmX_Inn,-0.027383126
aLHmX_Inn,0.025473437
aLHmX_Inn,0.012479264
aLHmX_Inn,0.13157477
aLHmX_Inn,-0.02041107
aLHmX_Inn,0.059512811
aLHmX_Inn,0.149480626
aLHmX_Inn,0.116588658
aLHmX_Inn,0.168159658
aLHmX_Inn,0.005375028
aLHmX_Inn,-0.00297871
aLHmX_Inn,0.115971414
aLHmX_Inn,0.053384721
aLHmX_Inn,0.056460313
aLHmX_Inn,0.035838963
aLHmX_Inn,0.139049399
aLHmX_Inn,0.036071621
aLHmX_Inn,0.104876414
aLHmX_Inn,0.028473099
aLHmX_Inn,0.004469421
aLHmX_Inn,0.089024935
aLHmX_Inn,0.167174743
aLHmX_Inn,-0.001824245
aLHmX_Inn,0.080429972
aLHmX_Inn,-0.066453847
aLHmX_Inn,0.147045301
aLHmX_Inn,0.033327039
aLHmX_Inn,0.001661158
aLHmX_Inn,0.123774325
aLHmX_Inn,0.091182216
aLHmX_Inn,0.117772593
aLHmX_Inn,0.068728203
aLHmX_Inn,0.046992695
aLHmX_Inn,0.062320261
aLHmX_Inn,0.21453549
aLHmX_Inn,0.122904347
aLHmX_Inn,0.043416329
aLHmX_Inn,0.111114164
aLHmX_Inn,0.117322877
aLHmX_Inn,0.110137645
aLHmX_Inn,0.259420476
aLHmX_Inn,0.084150215
aLHmX_Inn,0.027874619
aLHmX_Inn,0.142498281
aLHmX_Inn,0.047178029
aLHmX_Inn,-0.034263533
aLHmX_Inn,0.089426058
aLHmX_Inn,0.032785579
aLHmX_Inn,0.165198492
aLHmX_Inn,0.025497161
aLHmX_Inn,-0.046881732
aLHmX_Inn,0.055054325
aLHmX_Inn,0.053296182
aLHmX_Inn,0.152698588
aLHmX_Inn,0.068559982
aLHmX_Inn,0.044439062
aLHmX_Inn,0.105651193
aLHmX_Inn,0.109811058
aLHmX_Inn,0.039460588
aLHmX_Inn,0.030256055
aLHmX_Inn,0.132681424
aLHmX_Inn,0.087109048
aLHmX_Inn,0.053188144
aLHmX_Inn,0.151888095
aLHmX_Inn,0.094360697
aLHmX_Inn,0.124454322
aLHmX_Inn,0.145568092
aLHmX_Inn,0.062749273
aLHmX_Inn,0.036199773
aLHmX_Inn,-0.003670554
aLHmX_Inn,0.012954268
aLHmX_Inn,0.022544181
aLHmX_Inn,0.039189172
aLHmX_Inn,0.129712396
aLHmX_Inn,0.072044586
aLHmX_Inn,0.08069167
aLHmX_Inn,0.06110991
aLHmX_Inn,-0.095301853
aLHmX_Inn,0.008088219
aLHmX_Inn,0.010289413
aLHmX_Inn,0.167564745
aLHmX_Inn,-0.026869927
aLHmX_Inn,-0.0154611
aLHmX_Inn,0.120771662
aLHmX_Inn,0.071705191
aLHmX_Inn,-0.008016448
aLHmX_Inn,-0.028694434
aLHmX_Inn,0.089189414
aLHmX_Inn,-0.103879663
aLHmX_Inn,0.178101706
aLHmX_Inn,0.068867585
aLHmX_Inn,0.133890045
aLHmX_Inn,0.108467064
aLHmX_Inn,0.051577532
aLHmX_Inn,0.008826768
aLHmX_Inn,0.082626584
aLHmX_Inn,0.121910836
aLHmX_Inn,-0.013669727
aLHmX_Inn,0.140789335
