population,treatment,vial,female,age,dead
dInn-Lx,bnovelX,5,4,29,1
dInn-Lx,bnovelX,5,5,33,1
dInn-Lx,bnovelX,6,1,1,1
dInn-Lx,bnovelX,6,2,19,1
dInn-Lx,bnovelX,6,3,22,0
dInn-Lx,bnovelX,6,4,23,0
dInn-Lx,bnovelX,6,5,33,0
dInn-Lx,bnovelX,7,1,26,1
dInn-Lx,bnovelX,7,2,26,1
dInn-Lx,bnovelX,7,3,28,0
dInn-Lx,bnovelX,7,4,42,0
dInn-Lx,bnovelX,7,5,42,0
dInn-Lx,bnovelX,8,1,25,1
dInn-Lx,bnovelX,8,2,32,1
dInn-Lx,bnovelX,8,3,35,1
dInn-Lx,bnovelX,8,4,37,1
dInn-Lx,bnovelX,8,5,42,0
dInn-Lx,bnovelX,9,1,17,1
dInn-Lx,bnovelX,9,2,23,1
dInn-Lx,bnovelX,9,3,28,1
dInn-Lx,bnovelX,9,4,42,0
dInn-Lx,bnovelX,9,5,42,0
dInn-Lx,bnovelX,10,1,22,0
dInn-Lx,bnovelX,10,2,26,1
dInn-Lx,bnovelX,10,3,31,1
dInn-Lx,bnovelX,10,4,42,0
dInn-Lx,bnovelX,10,5,42,0
eInn-Ly,cnovelY,1,1,1,1
eInn-Ly,cnovelY,1,2,5,1
eInn-Ly,cnovelY,1,3,30,1
eInn-Ly,cnovelY,1,4,30,1
eInn-Ly,cnovelY,1,5,37,1
eInn-Ly,cnovelY,2,1,5,1
eInn-Ly,cnovelY,2,2,22,0
eInn-Ly,cnovelY,2,3,24,1
eInn-Ly,cnovelY,2,4,35,1
eInn-Ly,cnovelY,2,5,37,1
eInn-Ly,cnovelY,3,1,12,0
eInn-Ly,cnovelY,3,2,35,1
eInn-Ly,cnovelY,3,3,36,1
eInn-Ly,cnovelY,3,4,37,1
eInn-Ly,cnovelY,3,5,37,1
eInn-Ly,cnovelY,4,1,1,1
eInn-Ly,cnovelY,4,2,12,1
eInn-Ly,cnovelY,4,3,26,1
eInn-Ly,cnovelY,4,4,32,1
eInn-Ly,cnovelY,4,5,35,1
eInn-Ly,cnovelY,5,1,26,1
eInn-Ly,cnovelY,5,2,26,1
eInn-Ly,cnovelY,5,3,29,1
eInn-Ly,cnovelY,5,4,32,1
eInn-Ly,cnovelY,5,5,37,1
eInn-Ly,cnovelY,6,1,5,1
eInn-Ly,cnovelY,6,2,29,1
eInn-Ly,cnovelY,6,3,33,1
eInn-Ly,cnovelY,6,4,33,1
eInn-Ly,cnovelY,6,5,35,1
eInn-Ly,cnovelY,7,1,2,1
eInn-Ly,cnovelY,7,2,2,1
eInn-Ly,cnovelY,7,3,26,1
eInn-Ly,cnovelY,7,4,33,1
eInn-Ly,cnovelY,7,5,35,1
eInn-Ly,cnovelY,8,1,22,0
eInn-Ly,cnovelY,8,2,24,0
eInn-Ly,cnovelY,8,3,32,1
eInn-Ly,cnovelY,8,4,35,1
eInn-Ly,cnovelY,8,5,37,1
eInn-Ly,cnovelY,9,1,1,1
eInn-Ly,cnovelY,9,2,19,1
eInn-Ly,cnovelY,9,3,26,1
eInn-Ly,cnovelY,9,4,30,1
eInn-Ly,cnovelY,9,5,37,1
eInn-Ly,cnovelY,10,1,12,1
eInn-Ly,cnovelY,10,2,24,1
eInn-Ly,cnovelY,10,3,24,1
eInn-Ly,cnovelY,10,4,33,1
eInn-Ly,cnovelY,10,5,37,1
fInn-Ox,bnovelX,1,1,1,1
fInn-Ox,bnovelX,1,2,12,1
fInn-Ox,bnovelX,1,3,12,1
fInn-Ox,bnovelX,1,4,28,1
fInn-Ox,bnovelX,1,5,33,1
fInn-Ox,bnovelX,2,1,4,1
fInn-Ox,bnovelX,2,2,23,1
fInn-Ox,bnovelX,2,3,24,1
fInn-Ox,bnovelX,2,4,30,1
fInn-Ox,bnovelX,2,5,35,1
fInn-Ox,bnovelX,3,1,5,1
fInn-Ox,bnovelX,3,2,22,0
fInn-Ox,bnovelX,3,3,32,1
fInn-Ox,bnovelX,3,4,35,1
fInn-Ox,bnovelX,3,5,37,1
fInn-Ox,bnovelX,4,1,5,1
fInn-Ox,bnovelX,4,2,32,1
fInn-Ox,bnovelX,4,3,32,1
fInn-Ox,bnovelX,4,4,33,1
fInn-Ox,bnovelX,4,5,33,1
fInn-Ox,bnovelX,5,1,17,1
fInn-Ox,bnovelX,5,2,32,1
fInn-Ox,bnovelX,5,3,33,1
fInn-Ox,bnovelX,5,4,35,1
fInn-Ox,bnovelX,5,5,37,1
fInn-Ox,bnovelX,6,1,20,1
fInn-Ox,bnovelX,6,2,35,1
fInn-Ox,bnovelX,6,3,35,1
fInn-Ox,bnovelX,6,4,37,1
fInn-Ox,bnovelX,6,5,37,1
fInn-Ox,bnovelX,7,1,12,1
fInn-Ox,bnovelX,7,2,12,1
fInn-Ox,bnovelX,7,3,22,0
fInn-Ox,bnovelX,7,4,30,1
fInn-Ox,bnovelX,7,5,35,1
fInn-Ox,bnovelX,8,1,9,0
fInn-Ox,bnovelX,8,2,24,0
fInn-Ox,bnovelX,8,3,29,1
fInn-Ox,bnovelX,8,4,30,1
fInn-Ox,bnovelX,8,5,35,1
fInn-Ox,bnovelX,9,1,24,0
fInn-Ox,bnovelX,9,2,30,1
fInn-Ox,bnovelX,9,3,35,1
fInn-Ox,bnovelX,9,4,37,1
fInn-Ox,bnovelX,9,5,42,0
fInn-Ox,bnovelX,10,1,22,0
fInn-Ox,bnovelX,10,2,22,0
fInn-Ox,bnovelX,10,3,22,0
fInn-Ox,bnovelX,10,4,30,1
fInn-Ox,bnovelX,10,5,35,1
gInn-Oy,cnovelY,1,1,3,1
gInn-Oy,cnovelY,1,2,22,0
gInn-Oy,cnovelY,1,3,31,1
gInn-Oy,cnovelY,1,4,35,1
gInn-Oy,cnovelY,1,5,36,1
gInn-Oy,cnovelY,2,1,9,1
gInn-Oy,cnovelY,2,2,31,1
gInn-Oy,cnovelY,2,3,32,1
gInn-Oy,cnovelY,2,4,33,1
gInn-Oy,cnovelY,2,5,35,1
gInn-Oy,cnovelY,3,1,1,1
gInn-Oy,cnovelY,3,2,19,1
gInn-Oy,cnovelY,3,3,33,1
gInn-Oy,cnovelY,3,4,37,1
gInn-Oy,cnovelY,3,5,37,1
gInn-Oy,cnovelY,4,1,29,1
gInn-Oy,cnovelY,4,2,33,1
gInn-Oy,cnovelY,4,3,33,1
gInn-Oy,cnovelY,4,4,33,1
gInn-Oy,cnovelY,4,5,35,1
gInn-Oy,cnovelY,5,1,24,0
gInn-Oy,cnovelY,5,2,26,1
gInn-Oy,cnovelY,5,3,31,1
gInn-Oy,cnovelY,5,4,31,1
gInn-Oy,cnovelY,5,5,33,1
gInn-Oy,cnovelY,6,1,5,1
gInn-Oy,cnovelY,6,2,26,1
gInn-Oy,cnovelY,6,3,29,1
gInn-Oy,cnovelY,6,4,37,1
gInn-Oy,cnovelY,6,5,37,1
gInn-Oy,cnovelY,7,1,1,1
gInn-Oy,cnovelY,7,2,12,0
gInn-Oy,cnovelY,7,3,31,1
gInn-Oy,cnovelY,7,4,37,1
gInn-Oy,cnovelY,7,5,37,1
gInn-Oy,cnovelY,8,1,2,1
gInn-Oy,cnovelY,8,2,4,1
gInn-Oy,cnovelY,8,3,5,1
gInn-Oy,cnovelY,8,4,19,1
gInn-Oy,cnovelY,8,5,22,0
gInn-Oy,cnovelY,9,1,5,1
gInn-Oy,cnovelY,9,2,26,1
gInn-Oy,cnovelY,9,3,29,1
gInn-Oy,cnovelY,9,4,30,1
gInn-Oy,cnovelY,9,5,33,1
gInn-Oy,cnovelY,10,1,22,0
gInn-Oy,cnovelY,10,2,22,0
gInn-Oy,cnovelY,10,3,25,1
gInn-Oy,cnovelY,10,4,35,1
gInn-Oy,cnovelY,10,5,35,1
hOdder,awt,1,1,5,0
hOdder,awt,1,2,22,0
hOdder,awt,1,3,25,1
hOdder,awt,1,4,26,1
hOdder,awt,1,5,30,1
hOdder,awt,2,1,33,1
hOdder,awt,2,2,35,1
hOdder,awt,2,3,37,1
hOdder,awt,2,4,37,1
hOdder,awt,2,5,42,0
hOdder,awt,3,1,12,1
hOdder,awt,3,2,19,1
hOdder,awt,3,3,32,1
hOdder,awt,3,4,32,1
hOdder,awt,3,5,33,1
hOdder,awt,4,1,5,0
hOdder,awt,4,2,5,1
hOdder,awt,4,3,32,1
hOdder,awt,4,4,33,1
hOdder,awt,4,5,33,1
hOdder,awt,5,1,2,1
hOdder,awt,5,2,24,1
hOdder,awt,5,3,26,1
hOdder,awt,5,4,35,1
hOdder,awt,5,5,37,1
hOdder,awt,6,1,33,1
hOdder,awt,6,2,33,1
hOdder,awt,6,3,37,1
hOdder,awt,6,4,37,1
hOdder,awt,6,5,37,1
hOdder,awt,7,1,1,1
hOdder,awt,7,2,10,1
hOdder,awt,7,3,26,1
hOdder,awt,7,4,33,1
hOdder,awt,7,5,33,1
hOdder,awt,8,1,5,1
hOdder,awt,8,2,12,1
hOdder,awt,8,3,22,0
hOdder,awt,8,4,22,0
hOdder,awt,8,5,35,1
hOdder,awt,9,1,5,0
hOdder,awt,9,2,22,0
hOdder,awt,9,3,26,1
hOdder,awt,9,4,33,1
hOdder,awt,9,5,33,1
hOdder,awt,10,1,1,1
hOdder,awt,10,2,12,1
hOdder,awt,10,3,19,1
hOdder,awt,10,4,19,1
hOdder,awt,10,5,22,0
iOdd-Ix,bnovelX,1,1,22,0
iOdd-Ix,bnovelX,1,2,22,0
iOdd-Ix,bnovelX,1,3,22,0
iOdd-Ix,bnovelX,1,4,22,0
iOdd-Ix,bnovelX,1,5,22,0
iOdd-Ix,bnovelX,2,1,5,0
iOdd-Ix,bnovelX,2,2,33,1
iOdd-Ix,bnovelX,2,3,33,1
