population,deltaProp_eclose
aLHmX_Inn,-0.007916667
aLHmX_Inn,-0.01825
aLHmX_Inn,0.020416667
aLHmX_Inn,0.015714286
aLHmX_Inn,-0.04875
aLHmX_Inn,-0.046704545
aLHmX_Inn,-0.0365
aLHmX_Inn,-0.065272727
aLHmX_Inn,0.047142857
aLHmX_Inn,-0.060833333
aLHmX_Inn,-0.014636364
aLHmX_Inn,-0.051636364
aLHmX_Inn,-0.054949495
aLHmX_Inn,0.00797619
aLHmX_Inn,-0.021666667
aLHmX_Inn,-0.028611111
aLHmX_Inn,0.005357143
aLHmX_Inn,0.05
aLHmX_Inn,0.011414141
aLHmX_Inn,-0.045714286
aLHmX_Inn,-0.0475
aLHmX_Inn,-0.041547619
aLHmX_Inn,-0.0385
aLHmX_Inn,0.043
aLHmX_Inn,-0.020416667
aLHmX_Inn,-0.028282828
aLHmX_Inn,0.007361111
aLHmX_Inn,-0.062833333
aLHmX_Inn,-0.007083333
aLHmX_Inn,-0.020181818
aLHmX_Inn,0.001545455
aLHmX_Inn,-0.0335
aLHmX_Inn,-0.076666667
aLHmX_Inn,-0.0085
aLHmX_Inn,-0.027386364
aLHmX_Inn,-0.068
aLHmX_Inn,-0.00625
aLHmX_Inn,-0.03125
aLHmX_Inn,-0.050909091
aLHmX_Inn,-0.011071429
aLHmX_Inn,-0.041168831
aLHmX_Inn,-0.042666667
aLHmX_Inn,0.018363636
aLHmX_Inn,0.014142857
aLHmX_Inn,-0.016222222
aLHmX_Inn,-0.033333333
aLHmX_Inn,-0.069642857
aLHmX_Inn,0.024727273
aLHmX_Inn,-0.004285714
aLHmX_Inn,-0.050119048
aLHmX_Inn,-0.02375
aLHmX_Inn,-0.048181818
aLHmX_Inn,-0.01
aLHmX_Inn,-0.054666667
aLHmX_Inn,-0.042833333
aLHmX_Inn,-0.034666667
aLHmX_Inn,-0.026111111
aLHmX_Inn,-0.018333333
aLHmX_Inn,-0.025416667
aLHmX_Inn,0.04375
aLHmX_Inn,-0.005909091
aLHmX_Inn,-0.005454545
aLHmX_Inn,-0.010568182
aLHmX_Inn,-0.0475
aLHmX_Inn,-0.02625
aLHmX_Inn,-0.008222222
aLHmX_Inn,-0.061555556
aLHmX_Inn,-0.036363636
aLHmX_Inn,0.0025
aLHmX_Inn,-0.017181818
aLHmX_Inn,-0.037
aLHmX_Inn,-0.012424242
aLHmX_Inn,0.005595238
aLHmX_Inn,-0.046
aLHmX_Inn,-0.007272727
aLHmX_Inn,-0.005555556
aLHmX_Inn,-0.067777778
aLHmX_Inn,-0.001714286
aLHmX_Inn,-0.014166667
aLHmX_Inn,-0.069571429
aLHmX_Inn,-0.065113636
aLHmX_Inn,-0.0275
aLHmX_Inn,-0.023222222
aLHmX_Inn,-0.057142857
aLHmX_Inn,-0.019333333
aLHmX_Inn,-0.040833333
aLHmX_Inn,-0.038961039
aLHmX_Inn,-0.037
aLHmX_Inn,0.019166667
aLHmX_Inn,0.05
aLHmX_Inn,-0.060606061
aLHmX_Inn,-0.022159091
aLHmX_Inn,-0.0275
aLHmX_Inn,-0.016666667
aLHmX_Inn,-0.012
aLHmX_Inn,-0.009924242
aLHmX_Inn,-0.07425
aLHmX_Inn,-0.023181818
aLHmX_Inn,-0.044444444
aLHmX_Inn,-0.091666667
aLHmX_Inn,-0.020714286
aLHmX_Inn,-0.054545455
aLHmX_Inn,-0.032666667
aLHmX_Inn,-0.072575758
aLHmX_Inn,-0.066555556
aLHmX_Inn,0.055666667
aLHmX_Inn,-0.023636364
aLHmX_Inn,-0.063522727
aLHmX_Inn,-0.020277778
aLHmX_Inn,-0.003333333
aLHmX_Inn,-0.057
aLHmX_Inn,-0.03375
aLHmX_Inn,0.01297619
aLHmX_Inn,-0.000277778
aLHmX_Inn,-0.025151515
aLHmX_Inn,-0.005844156
aLHmX_Inn,-0.0225
aLHmX_Inn,-0.038080808
aLHmX_Inn,0.003636364
aLHmX_Inn,0.02025
aLHmX_Inn,-0.035974026
aLHmX_Inn,-0.057121212
aLHmX_Inn,-0.059555556
aLHmX_Inn,-0.061558442
aLHmX_Inn,-0.024880952
aLHmX_Inn,-0.090833333
aLHmX_Inn,-0.008166667
aLHmX_Inn,-0.011704545
aLHmX_Inn,-0.08
aLHmX_Inn,0.017272727
aLHmX_Inn,0.022
aLHmX_Inn,-0.046666667
aLHmX_Inn,-0.06
aLHmX_Inn,-0.016022727
aLHmX_Inn,-0.01547619
aLHmX_Inn,-0.036623377
aLHmX_Inn,-0.0275
aLHmX_Inn,0.00469697
aLHmX_Inn,-0.038787879
aLHmX_Inn,-0.059857143
aLHmX_Inn,-0.06125
aLHmX_Inn,0.015277778
aLHmX_Inn,0.025909091
aLHmX_Inn,-0.037272727
aLHmX_Inn,-0.011944444
